Country Name,Country Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Europe & Central Asia,ECS,47.31843651,50.54062025,56.09402548,58.81028076,63.60314941,66.32368116,68.99720789,71.13231551,73.35452373,
Ecuador,ECU,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,54.06292473,
"Egypt, Arab Rep.",EGY,18.01,20,21.6,25.6,26.4,29.4,33.89460391,37.81938343,41.24806709,
Euro area,EMU,64.73270437,67.04301592,70.96600478,71.9737843,74.09820222,75.85276951,77.11958965,78.79553646,80.5799712,
Eritrea,ERI,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.083733116,1.17711872,
Spain,ESP,59.6,62.4,65.8,67.08999939,69.80999994,71.635,76.19,78.6896,80.56133294,
Estonia,EST,70.58,72.5,74.1,76.5,78.38992593,80.0043,84.24152803,88.4118116,87.23733209,
Ethiopia,ETH,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.85517556,15.36692386,
European Union,EUU,64.21764313,67.27798828,70.71315032,71.63025008,73.83414009,75.686771,77.31226509,78.63617205,80.94242766,
Fragile and conflict affected situations,FCS,2.986868287,3.864390183,5.971161397,6.800789804,8.39397884,10.21318131,12.29905594,15.31669714,17.31108319,
Finland,FIN,83.67,82.49,86.89,88.70999491,89.87999797,91.5144,86.53039275,86.42213333,87.70364996,
Fiji,FJI,13,17,20,28,33.74235675,35.2,37.4,42.5,46.50697831,
France,FRA,70.68,71.58,77.28,77.81999899,81.44,81.9198,83.75,84.6945,85.62219995,
Faroe Islands,FRO,75.57,75.18,75.2,80.7321728,85.33518924,90,93.3,94.2,95.10868167,
"Micronesia, Fed. Sts.",FSM,14.49,15.35,20,22.8,25.974423,27.8,29.65,31.50108128,33.35216255,
Gabon,GAB,7.5,9.5,13,18,24,30.53803344,38.07120929,45.78453653,48.05227375,
United Kingdom,GBR,78.39,83.56,85,85.37999855,87.47999842,89.8441,91.61,92.0003,94.77580063,
Georgia,GEO,10.01,20.07,26.9,31.52,36.94,43.3,44,47.56975964,58.00616157,
Ghana,GHA,4.27,5.44,7.8,9,10.6,15,25.51773743,31.44785241,34.66600065,
Gibraltar,GIB,58,65.07,65,65,65.017,,,,94.44447158,
Guinea,GIN,0.92,0.94,1,2,3.1,4.5,6.4,8.2,9.8,
"Gambia, The",GMB,6.88,7.63,9.2,10.8703,12.44922872,14,15.56,16.5,18.5,
Guinea-Bissau,GNB,2.354888711,2.303280592,2.45,2.672,2.893990621,3.1,3.32,3.540706917,3.761413832,
Equatorial Guinea,GNQ,1.82,2.13,6,11.5,13.94318219,16.4,18.86,21.31999999,23.77999997,
Greece,GRC,38.2,42.4,44.4,51.64999517,55.06999344,59.8663,63.21,66.835,69.08791547,
Grenada,GRD,23.18,24.05,27,30,32,35,51.6,53.81,55.85640782,
Greenland,GRL,62.82,62.83,63,64,64.8960101,65.8,66.7,67.60044348,68.50087368,
Guatemala,GTM,8.3,9.3,10.5,12.3,16,19.7,23.4,28.80594156,34.50932609,
Guam,GUM,48.41870215,50.64202838,54.04,57.7,61.53415931,65.4,69.27,73.13999995,77.00999989,
Guyana,GUY,18.2,23.9,29.9,30,30.5,31,32,34,35.66,
High income,HIC,68.97364887,70.197069,72.28553688,72.83925793,75.54147891,76.89318452,78.55182061,80.09987341,82.1818476,
"Hong Kong SAR, China",HKG,66.7,69.4,72,72.2,72.9,74.2,79.86627043,84.94835296,87.47784626,
Honduras,HND,9.6,9.8,11.09,15.9,18.12,17.8,19.08,27.61981381,30,
Heavily indebted poor countries (HIPC),HPC,2.512402792,3.126912305,4.723077405,5.33755307,6.600651378,8.060143809,10.3839468,13.35279877,15.56884144,
Croatia,HRV,44.24,50.58,56.55,57.78997899,61.93997315,66.7476,68.57,69.8031,72.69730605,
Haiti,HTI,7.6,8.1,8.37,9,9.8,10.6,11.4,12.1977,12.23260161,
Hungary,HUN,61,62,65,68.01998789,70.57999815,72.6439,75.65319745,72.8347,79.25940132,
IBRD only,IBD,16.9458663,20.28596592,24.81506376,28.3078637,32.08905965,35.15221114,38.78204932,42.71571788,45.87600273,
IDA & IBRD total,IBT,14.08224247,16.8119493,20.54576739,23.38194462,26.56256363,29.24278724,32.63843193,36.28905725,39.17619023,
IDA total,IDA,4.232176028,5.013510519,6.465312209,7.481192704,8.970230107,10.78378526,13.70300086,16.73796389,19.06252928,
IDA blend,IDB,7.122248231,8.114761023,9.572492823,11.24404202,13.20521373,15.44744298,17.80488928,21.11883047,23.06319461,
Indonesia,IDN,7.917479385,6.92,10.92,12.28,14.52,14.94,17.14,21.97606771,25.36630059,
IDA only,IDX,2.734201441,3.405774784,4.893792059,5.601684375,6.852600462,8.475681605,11.67108822,14.56646726,17.07879382,
Isle of Man,IMN,,,,,,,,,,
India,IND,4.38,5.12,7.5,10.07,12.58006091,15.1,21,26,29.54716289,
Not classified,INX,,,,,,,,,,
Ireland,IRL,65.34,67.38,69.85,74.88997297,76.91999254,78.2477,83.49172234,83.49479167,85.01113212,
"Iran, Islamic Rep.",IRN,12.02,13.8,15.9,19,22.73,29.95,39.35,45.33497588,53.22677263,
Iraq,IRQ,1,1.06,2.5,5,7.1,9.2,13.21,17.22,21.23,
Iceland,ISL,91,93,93.39,94.8196868,96.20979955,96.5468,98.16,98.2,98.2400163,
Israel,ISR,59.39,63.12,67.5,68.87387799,70.8,70.25031195,75.01775316,77.35208966,79.65312418,
Italy,ITA,44.53,48.83,53.68,54.3899983,55.82999799,58.4593,55.63846022,58.14173496,61.32425277,
Jamaica,JAM,23.6,24.3,27.67,37.43861341,33.79,37.1,40.4027351,42.22122119,45,
Jordan,JOR,23,26,27.2,34.9,37,41.4,46.2,60.11438269,62.30219257,
Japan,JPN,75.4,78,78.21,79.05411352,79.4964,88.21942891,89.10683302,91.05802839,93.18272128,
Kazakhstan,KAZ,11,18.2,31.6,50.6,61.90662747,63.30422443,66,70.8299336,74.58772647,
Kenya,KEN,5.2,6.1,7.2,8.8,10.5,13,16.5,21,26,
Kyrgyz Republic,KGZ,15.7,16,16.3,17.5,19.8,23,28.3,30.24704278,34.5,
Cambodia,KHM,0.51,0.53,1.26,3.1,4.94,6.8,14,22.32743536,32.39845171,
Kiribati,KIR,7,8.97,9.07,10,10.74679768,11.5,12.25,12.99748389,13.7,
St. Kitts and Nevis,KNA,49.2,55.7,63,63.2,64,64.6,68,75.7,76.81767491,
"Korea, Rep.",KOR,81,81.6,83.7,83.75912015,84.07,84.77,87.55682649,89.64863086,92.84302568,
Kuwait,KWT,42,50.8,61.4,65.76907069,70.45,75.46,78.7,77.52326901,78.36738376,
Latin America & Caribbean (excluding high income),LAC,25.97973101,30.52998339,34.20245818,38.76467741,42.52027285,45.62450478,48.09187918,53.72668706,56.30003799,
Lao PDR,LAO,3.55,6,7,9,10.74767619,12.5,14.26,18.2,21.87,
Lebanon,LBN,22.53,30.14,43.68,52,61.24978572,70.5,73,74,76.11,
Liberia,LBR,0.53,2,2.3,2.5,2.6,3.2,5.41,5.903867603,7.319106411,
Libya,LBY,9,10.8,14,14,,16.5,17.76,19.01607978,20.27215956,
St. Lucia,LCA,30,31,32.5,34,34.82,36,36.6,42.53093047,46.72907806,
Latin America & Caribbean,LCN,26.50979573,31.03941817,34.71188923,39.35253782,43.18243413,46.26107781,48.77823879,54.30400326,56.84130991,
Least developed countries: UN classification,LDC,2.122203283,2.702761909,4.128908817,4.767448775,6.026859123,7.499515417,10.41277973,13.21835306,15.61204197,
Low income,LIC,1.859288186,2.349271522,3.246712535,3.704795793,4.688079653,6.025708998,7.67700383,10.55480396,12.43975394,
Liechtenstein,LIE,70,75,80,85,89.4077,93.8,95.21,96.6411951,98.09390389,
Sri Lanka,LKA,5.8,8.78,12,15,18.2854,21.9,25.8,29.98873755,32.05100274,
Lower middle income,LMC,6.886782304,7.992379607,10.93617638,13.16488996,15.6912846,18.32466607,22.72932042,26.86485871,29.97560574,
Low & middle income,LMY,13.66919123,16.36601404,20.08981123,22.92133279,26.11547352,28.93047146,32.32703398,36.00551895,38.88304356,
Lesotho,LSO,3.58,3.72,3.86,7,10,15,22,25,27.36,
Late-demographic dividend,LTE,25.19779327,30.59824643,36.03368272,40.04939085,44.71099693,48.36886754,50.95102532,53.6203439,56.49252989,
Lithuania,LTU,55.22,59.76,62.12,63.6399774,67.22998933,68.4529,72.13,71.378,74.37664556,
Luxembourg,LUX,82.23,87.31,90.62,90.02985856,91.94992374,93.7765,94.67,97.3341,98.13669867,
Latvia,LVA,63.41,66.84,68.42,69.74995456,73.11994377,75.2344,75.83,79.2006,79.84209778,
"Macao SAR, China",MAC,49.24,54,55.198,60.20369672,61.31,65.8,69.78,77.60013186,81.64298546,
St. Martin (French part),MAF,,,,,,,,,,
Morocco,MAR,33.1,41.3,52,46.1074826,55.41605319,56,56.8,57.08,58.27123642,
Monaco,MCO,67.25,70.1,75,80.3,87,90.7,92.4,93.36330202,95.20817797,
Moldova,MDA,23.39,27.5,32.3,38,43.37,60,67,69,70.99999911,
Madagascar,MDG,1.65,1.63,1.7,1.9,2.3,3,3.7,4.17397219,4.713662899,
Maldives,MDV,23.2,24.8,26.53,34,38.9301,44.1,49.28,54.46195515,59.09258997,
Middle East & North Africa,MEA,18.75299529,21.61841565,24.87267923,27.83595894,31.61118712,35.3283434,40.24021671,44.33506682,48.17789711,
Mexico,MEX,21.71,26.34,31.05,37.17629541,39.75,43.46,44.39,57.43104299,59.540446,
Marshall Islands,MHL,4.6,5.6,7,10,12.5,14,16.8,19.2824418,29.78777936,
Middle income,MIC,14.87801464,17.82275632,21.81708539,24.96758022,28.43562113,31.3885875,35.01830867,38.83116051,41.86857295,
"Macedonia, FYR",MKD,46.04,51.77,51.9,56.7,57.44994731,65.24,68.06,70.3802,72.15681447,
Mali,MLI,1.57,1.8,2,2.2,2.8,3.5,7,10.33,11.11218649,
Malta,MLT,50.08,58.86,63,68.01982379,68.19987429,68.9138,73.17,76.184,77.28939482,
Myanmar,MMR,0.22,0.22,0.25,0.98,4,8,11.52,21.72583401,25.07330424,
Middle East & North Africa (excluding high income),MNA,15.07349353,17.78760994,20.73330352,23.02044794,26.27417096,29.80611556,34.83925816,39.13948506,43.10498101,
Montenegro,MNE,32.9,35.1,37.5,35.61154125,56.83878255,60.31,61,68.11958104,69.88164684,
Mongolia,MNG,9.8,10,10.2,12.49999111,16.4,17.69998424,19.94244743,21.43603111,22.2657705,
Northern Mariana Islands,MNP,,,,,,,,,,
Mozambique,MOZ,1.56,2.68,4.17,4.3,6,7.29393733,9.236314896,16.93353299,17.52123909,
Mauritania,MRT,1.87,2.28,4,4.5,5,6.2,10.7,15.19912669,18,
Mauritius,MUS,21.81,22.51,28.33,34.95,35.42,40.11682514,44.80327537,50.13931848,52.19132594,
Malawi,MWI,0.7,1.07,2.26,3.33,4.3506,5.05,5.83,9.298148347,9.614097296,
Malaysia,MYS,55.8,55.9,56.3,61,65.8,57.05751226,63.66542588,71.06406781,78.78830993,
North America,NAC,74.26934982,71.92675751,72.5503538,71.0589108,75.53469755,72.85125319,74.42683527,75.96382602,77.56345949,
Namibia,NAM,5.329003772,6.5,11.6,12,12.9414,13.9,14.84,25.68785182,31.03334594,
New Caledonia,NCL,34.51,33.99,42,50,58,66,70,74.00175279,,
Niger,NER,0.7,0.76,0.83,1.3,1.4077,1.7,1.95,2.476219975,4.32275803,
Nigeria,NGA,8,9.3,11.5,13.8,16.1,19.1,21,24.5,25.67,
Nicaragua,NIC,5.3,7.3,10,10.6,13.5,15.5,17.6,19.7042915,24.57183396,
Netherlands,NLD,87.42,89.63,90.72,91.41999576,92.85999236,93.9564,91.666666,91.72413793,90.4109589,
Norway,NOR,90.57,92.08,93.39,93.48998265,94.64997805,95.0534,96.3,96.8103,97.29820367,
Nepal,NPL,1.73,1.97,7.93,9,11.1493,13.3,15.44,17.58161801,19.68876384,
Nauru,NRU,,,,54,,,,,,
New Zealand,NZL,72.03,79.7,80.46,81.23,81.64447018,82.78,85.5,88.22288882,88.47018635,
OECD members,OED,63.93820389,65.35165654,67.64053005,68.55833601,70.95997056,72.28252767,73.89410583,76.56259125,78.73113222,
Oman,OMN,20,26.8,35.8278,48,60,66.45,70.22,66.13381127,69.92919257,
Other small states,OSS,18.64968717,20.62774851,24.19191717,27.79362502,31.09335689,35.93863063,39.71373435,43.28654505,45.72993462,
Pakistan,PAK,7,7.5,8,9,9.96,10.9,12,14,15.51455779,
Panama,PAN,33.82,39.08,40.1,42.7,40.30189522,44.03,44.92,51.20542499,54,
Peru,PER,30.57,31.4,34.77,36.01,38.2,39.2,40.2,40.9,45.46174069,
Philippines,PHL,6.22,9,25,29,36.2351,48.09902359,49.6,53.7,55.5,
Palau,PLW,,,,,,,,,,
Papua New Guinea,PNG,1.15,1.61,1.28,2,3.5,5.1,6.5,7.9,9.601538462,
Poland,POL,53.13,58.97,62.32,61.94999897,62.30999727,62.8492,66.6,67.997,73.3007,
Pre-demographic dividend,PRE,3.659929473,4.361325726,6.099754451,7.085250425,8.566162023,10.29524777,12.36415244,15.00040041,17.19762978,
Puerto Rico,PRI,38,41.5,45.3,48,68.9999826,68.99999,76.13385972,79.46876883,80.32,
"Korea, Dem. People?s Rep.",PRK,0,0,0,0,0,,,,,
Portugal,PRT,44.13,48.27,53.3,55.24999688,60.33999749,62.0956,64.59,68.6329,70.42356709,
Paraguay,PRY,14.27,18.9,19.8,24.76351588,29.34,36.9,43,48.43868795,51.34987436,
West Bank and Gaza,PSE,24.358,32.23,37.4,41.08,43.4,46.6,53.67,57.42419241,61.17838483,
Pacific island small states,PSS,8.692047105,10.87156551,12.97469668,17.64878858,20.72104369,22.0312361,24.73681875,27.94692745,30.60721347,
Post-demographic dividend,PST,67.65226505,68.86522805,70.97955906,71.43008867,74.22831377,75.73474644,77.3991187,79.09570561,81.12779654,
French Polynesia,PYF,33.87,44.6,49,49,52.87663059,56.8,60.68,64.56020975,68.44041949,
Qatar,QAT,44.3,53.1,69,69,69.3,85.3,91.49,92.88482645,94.29111815,
Romania,ROU,32.42,36.6,39.93,40.00999678,45.87999425,49.7645,54.08,55.7632,59.50395129,
Russian Federation,RUS,26.83,29,43,49,63.8,67.97,70.52,73.41,73.09143462,
Rwanda,RWA,4.5,7.7,8,7,8.023854277,9,10.6,18,20,
South Asia,SAS,4.408935438,5.149467757,7.205783791,9.398096636,11.52085994,13.75621344,19.08327622,23.20357256,26.4777357,
Saudi Arabia,SAU,36,38,41,47.5,54,60.5,64.71365737,69.6162358,73.75090368,
Sudan,SDN,,,16.7,17.46,21,22.7,24.64,26.61492855,28,
Senegal,SEN,7.12,7.5,8,9.8,10.8,13.1,17.7,21.69026413,25.66476804,
Singapore,SGP,69,69,71,71,72,80.90205685,79.02923586,79.012957,81,
Solomon Islands,SLB,3,4,5,6,6.9974,8,9,10.00046498,11.00090227,
Sierra Leone,SLE,0.25,0.26,0.58,0.9,2.5,4,6.057298984,6.344421603,11.77318438,
El Salvador,SLV,10.08,12.11,15.9,18.9,20.32138772,23.1093,24.76171215,26.80260496,28.99707305,
San Marino,SMR,54.52,54.21,,49.6,,,,,,
Somalia,SOM,1.142687372,1.160610542,,1.25,1.3767,1.5,1.63,1.76,1.88,
Serbia,SRB,35.6,38.1,40.9,42.2,48.1,53.45036418,62.07508046,65.3170254,67.05684137,
Sub-Saharan Africa (excluding high income),SSA,3.876289507,4.598676067,6.988944662,8.386960232,10.26657551,12.33091744,14.6967583,17.89302946,19.9190256,
South Sudan,SSD,,,,,,3.829969245,4.51615373,5.5,6.679728051,
Sub-Saharan Africa,SSF,3.880493418,4.598676067,6.992578507,8.390542461,10.27028308,12.33462412,14.70024055,17.89641872,19.9223631,
Small states,SST,19.86894677,22.26470649,25.72457431,29.98376402,32.67522266,36.88792963,40.43474861,43.78377854,46.31467749,
Sao Tome and Principe,STP,15.48,16.41,18.75,20.1612,21.5724,23,24.41,25.82,28,
Suriname,SUR,21.06,31.36,31.59,32,34.6812,37.4,40.08,42.76382778,45.4,
Slovak Republic,SVK,66.05,70,75.71,74.43999717,76.70999012,77.8826,79.98,77.6347,80.4759,
Slovenia,SVN,58,64,70,67.33999481,68.34997453,72.6756,71.59,73.0987,75.49850426,
Sweden,SWE,90,91,90,92.76998606,93.17998801,94.7836,92.52,90.6102,89.65094761,
Swaziland,SWZ,6.85,8.94,11.04,18.13,20.78178258,24.7,26.17500573,25.64304231,28.57352278,
Sint Maarten (Dutch part),SXM,,,,,,,,,,
Seychelles,SYC,40.44,,41,43.16400446,47.076,50.4,51.25470199,54.25961786,56.51470815,
Syrian Arab Republic,SYR,14,17.3,20.7,22.5,24.3001,26.2,28.09,29.97979724,31.86962727,
Turks and Caicos Islands,TCA,,,,,,,,,,
Chad,TCD,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5,
East Asia & Pacific (IDA & IBRD countries),TEA,19.50080066,24.06468038,29.32013325,32.7867707,36.51052758,39.69640372,42.04640158,45.21308093,48.41612752,
Europe & Central Asia (IDA & IBRD countries),TEC,26.59295118,30.37883923,38.10358638,42.53992344,50.08973164,53.75222954,57.79179044,60.83464149,63.37458828,
Togo,TGO,2.4,2.6,3,3.5,4,4.5,5.7,7.12,11.31,
Thailand,THA,18.2,20.1,22.4,23.66992562,26.46,28.94,34.89,39.31612674,47.50496562,
Tajikistan,TJK,8.78,10.07,11.55,13.03,14.51,16,17.49,18.98,20.47,
Turkmenistan,TKM,1.75,1.95,3,5,7.1958,9.6,12.2,14.99677482,17.99032446,
Latin America & the Caribbean (IDA & IBRD countries),TLA,26.67697568,31.27579133,34.98445336,39.71283962,43.40449689,46.43347909,48.94476251,54.43738797,57.00139873,
Timor-Leste,TLS,1.5,2,3,4,7,11,17.5,23,25.24624959,
Middle East & North Africa (IDA & IBRD countries),TMN,14.9616994,17.61214929,20.52900382,22.79709863,26.0565215,29.59457478,34.59977645,38.90462806,42.87044155,
Tonga,TON,8.110769944,10,16,25,30,32.75396061,35.95444145,38.65127243,39.95,
South Asia (IDA & IBRD),TSA,4.408935438,5.149467757,7.205783791,9.398096636,11.52085994,13.75621344,19.08327622,23.20357256,26.4777357,
Sub-Saharan Africa (IDA & IBRD countries),TSS,3.880493418,4.598676067,6.992578507,8.390542461,10.27028308,12.33462412,14.70024055,17.89641872,19.9223631,
Trinidad and Tobago,TTO,34.8,44.3,48.5,55.2,59.5162,63.8,65.1,69.19847061,73.29694122,
Tunisia,TUN,27.53,34.07,36.8,39.1,41.4416,43.8,46.16,46.5,49.6,
Turkey,TUR,34.37,36.4,39.82,43.06571043,45.13,46.25,51.04,53.74497914,58.34773401,
Tuvalu,TUV,15,20,25,30,35,37,39.2,42.7,46.00915151,
Tanzania,TZA,1.9,2.4,2.9,3.2,3.95,4.4,7,10,13,
Uganda,UGA,7.9,9.78,12.5,13.01354333,14.1,15.5,16.9,17.83485947,21.87617046,
Ukraine,UKR,11,17.9,23.3,28.70826284,35.27,40.954129,46.23597546,48.88464368,52.48180829,
Upper middle income,UMC,23.4890802,28.50134374,33.87839605,38.14765044,42.80331299,46.18183849,49.01828513,52.55990875,55.61217457,
Uruguay,URY,39.3,41.8,46.4,51.40466106,54.45376868,57.69,61.46,64.6,66.4,
United States,USA,74,71,71.69,69.72946076,74.7,71.4,73,74.55420245,76.17673698,
Uzbekistan,UZB,9.080114523,11.9,15.9,18.6,23.6,26.8,35.5,42.8,46.79128694,
St. Vincent and the Grenadines,VCT,21,31,33.7,36.7,40,43.5,47.4,51.77,55.57461942,
"Venezuela, RB",VEN,25.88,32.7,37.37,40.22,49.05008307,54.9,57,61.86924809,60,
British Virgin Islands,VGB,,36,37,37.4,37.6,,,,,
Virgin Islands (U.S.),VIR,27.36177742,27.39650968,31.22,35.6,40.5479,45.3,50.07,54.8391373,59.6083158,
Vietnam,VNM,23.92,26.55,30.65,35.07,36.8,38.5,41,43.5,46.5,
Vanuatu,VUT,7.269119923,7.5,8,9.2,10.598,11.3,18.8,22.35140458,24,
World,WLD,22.95056071,25.35634482,28.73360417,31.12547748,34.19432427,36.72604949,39.79214783,43.07955767,45.78450279,
Samoa,WSM,5.031615316,6,7,11,12.92249,15.3,21.2,25.40700977,29.41173011,
Kosovo,XKX,,,,,,,,,,
"Yemen, Rep.",YEM,6.89,9.96,12.35,14.905,17.4465,20,22.55,24.08540947,24.57920836,
South Africa,ZAF,8.43,10,24,33.97,41,46.5,49,51.91911572,54,
Zambia,ZMB,5.55,6.31,10,11.5,13.4682,15.4,19,21,25.50657885,
Zimbabwe,ZWE,3.5,4,6.4,8.4,12,15.5,16.36473996,22.7428181,23.11998904,
